Using specified device: cuda:0
[AGCRN] 参数量: 38,199

>>> Run 1/3  [AGCRN]  开始训练...
| epoch   1 | 186.3s | loss 0.7593 | mae 0.7372 | rmse 3.9450 | da 0.5052 | tda 0.5030 | ic -0.0017 | icir -0.0249
| epoch   2 | 185.6s | loss 0.7550 | mae 0.7380 | rmse 4.0070 | da 0.5067 | tda 0.5034 | ic 0.0031 | icir 0.0434
| epoch   3 | 182.6s | loss 0.7431 | mae 0.7068 | rmse 3.8357 | da 0.5066 | tda 0.5026 | ic 0.0069 | icir 0.0991
| epoch   4 | 185.5s | loss 0.7253 | mae 0.6981 | rmse 3.7374 | da 0.5062 | tda 0.5015 | ic 0.0021 | icir 0.0302
| epoch   5 | 185.4s | loss 0.5828 | mae 0.3868 | rmse 1.7182 | da 0.5058 | tda 0.5045 | ic 0.0093 | icir 0.1838
| epoch   6 | 182.3s | loss 0.4001 | mae 0.2855 | rmse 1.0880 | da 0.5055 | tda 0.5006 | ic 0.0081 | icir 0.1871
| epoch   7 | 185.1s | loss 0.2437 | mae 0.1955 | rmse 0.6956 | da 0.5062 | tda 0.5048 | ic 0.0052 | icir 0.1160
| epoch   8 | 185.0s | loss 0.1908 | mae 0.1730 | rmse 0.6471 | da 0.5062 | tda 0.5046 | ic 0.0004 | icir 0.0098
| epoch   9 | 182.9s | loss 0.1699 | mae 0.1633 | rmse 0.6284 | da 0.5062 | tda 0.5052 | ic 0.0059 | icir 0.1353
| epoch  10 | 184.7s | loss 0.1581 | mae 0.1523 | rmse 0.6111 | da 0.5062 | tda 0.5042 | ic 0.0036 | icir 0.0814
| epoch  11 | 184.5s | loss 0.1472 | mae 0.1468 | rmse 0.6069 | da 0.5065 | tda 0.5058 | ic 0.0068 | icir 0.1438
| epoch  12 | 184.0s | loss 0.1400 | mae 0.1454 | rmse 0.6103 | da 0.5075 | tda 0.5070 | ic 0.0074 | icir 0.1582
| epoch  13 | 184.8s | loss 0.1324 | mae 0.1266 | rmse 0.5674 | da 0.5052 | tda 0.5019 | ic 0.0021 | icir 0.0543
| epoch  14 | 178.2s | loss 0.1247 | mae 0.1343 | rmse 0.6018 | da 0.5063 | tda 0.5037 | ic 0.0039 | icir 0.0692
| epoch  15 | 177.5s | loss 0.1198 | mae 0.1225 | rmse 0.5749 | da 0.5051 | tda 0.5015 | ic 0.0004 | icir 0.0071
| epoch  16 | 168.7s | loss 0.1162 | mae 0.1223 | rmse 0.5800 | da 0.5067 | tda 0.5033 | ic 0.0057 | icir 0.1024
| epoch  17 | 168.0s | loss 0.1150 | mae 0.1161 | rmse 0.5626 | da 0.5056 | tda 0.5021 | ic 0.0025 | icir 0.0439
