Using specified device: cuda:0
[ITRANSFORMER] 参数量: 160,833

>>> Run 1/3  [ITRANSFORMER]  开始训练...
| epoch   1 |  14.4s | loss 0.2425 | mae 0.1366 | rmse 0.7990 | da 0.5093 | tda 0.5080 | ic 0.0140 | icir 0.2777
| epoch   2 |  16.2s | loss 0.1633 | mae 0.1162 | rmse 0.6981 | da 0.5093 | tda 0.5070 | ic 0.0084 | icir 0.1572
| epoch   3 |  16.2s | loss 0.1433 | mae 0.1083 | rmse 0.6589 | da 0.5108 | tda 0.5044 | ic 0.0024 | icir 0.0459
| epoch   4 |  15.8s | loss 0.1342 | mae 0.1019 | rmse 0.6253 | da 0.5066 | tda 0.5034 | ic 0.0023 | icir 0.0414
| epoch   5 |  16.1s | loss 0.1264 | mae 0.0965 | rmse 0.6000 | da 0.5083 | tda 0.5031 | ic 0.0096 | icir 0.1940
| epoch   6 |  16.1s | loss 0.1209 | mae 0.0934 | rmse 0.5855 | da 0.5085 | tda 0.5043 | ic 0.0137 | icir 0.2697
| epoch   7 |  16.1s | loss 0.1170 | mae 0.0938 | rmse 0.5786 | da 0.5074 | tda 0.5018 | ic 0.0046 | icir 0.0783
| epoch   8 |  16.2s | loss 0.1136 | mae 0.0899 | rmse 0.5646 | da 0.5103 | tda 0.5058 | ic 0.0156 | icir 0.3141
| epoch   9 |  16.2s | loss 0.1116 | mae 0.0884 | rmse 0.5561 | da 0.5057 | tda 0.5005 | ic 0.0001 | icir 0.0020
| epoch  10 |  16.1s | loss 0.1082 | mae 0.0879 | rmse 0.5537 | da 0.5098 | tda 0.5044 | ic 0.0051 | icir 0.0826
| epoch  11 |  15.7s | loss 0.1072 | mae 0.0879 | rmse 0.5511 | da 0.5077 | tda 0.5021 | ic 0.0015 | icir 0.0247
| epoch  12 |  15.9s | loss 0.1057 | mae 0.0851 | rmse 0.5413 | da 0.5097 | tda 0.5046 | ic 0.0034 | icir 0.0598
| epoch  13 |  16.3s | loss 0.1048 | mae 0.0818 | rmse 0.5340 | da 0.5089 | tda 0.5057 | ic 0.0070 | icir 0.1175
| epoch  14 |  16.2s | loss 0.1027 | mae 0.0814 | rmse 0.5303 | da 0.5066 | tda 0.5007 | ic 0.0003 | icir 0.0045
| epoch  15 |  15.9s | loss 0.1019 | mae 0.0814 | rmse 0.5287 | da 0.5094 | tda 0.5067 | ic 0.0202 | icir 0.3459
| epoch  16 |  16.2s | loss 0.1007 | mae 0.0804 | rmse 0.5269 | da 0.5066 | tda 0.5013 | ic -0.0035 | icir -0.0657
| epoch  17 |  16.2s | loss 0.1002 | mae 0.0818 | rmse 0.5294 | da 0.5122 | tda 0.5082 | ic 0.0141 | icir 0.2385
| epoch  18 |  15.9s | loss 0.0992 | mae 0.0873 | rmse 0.5366 | da 0.5092 | tda 0.5047 | ic 0.0016 | icir 0.0280
| epoch  19 |  16.1s | loss 0.0984 | mae 0.0803 | rmse 0.5226 | da 0.5111 | tda 0.5078 | ic 0.0156 | icir 0.2577
| epoch  20 |  16.2s | loss 0.0975 | mae 0.0796 | rmse 0.5187 | da 0.5081 | tda 0.5059 | ic 0.0073 | icir 0.1292
| epoch  21 |  16.2s | loss 0.0968 | mae 0.0800 | rmse 0.5194 | da 0.5074 | tda 0.5018 | ic 0.0122 | icir 0.1869
| epoch  22 |  16.0s | loss 0.0961 | mae 0.0887 | rmse 0.5421 | da 0.5102 | tda 0.5094 | ic 0.0064 | icir 0.0960
| epoch  23 |  15.8s | loss 0.0960 | mae 0.0819 | rmse 0.5227 | da 0.5095 | tda 0.5067 | ic 0.0035 | icir 0.0664
| epoch  24 |  16.1s | loss 0.0953 | mae 0.0839 | rmse 0.5270 | da 0.5085 | tda 0.5067 | ic -0.0014 | icir -0.0252
| epoch  25 |  16.1s | loss 0.0950 | mae 0.0863 | rmse 0.5326 | da 0.5132 | tda 0.5117 | ic 0.0137 | icir 0.2031
| epoch  26 |  16.0s | loss 0.0946 | mae 0.0900 | rmse 0.5425 | da 0.5094 | tda 0.5060 | ic 0.0011 | icir 0.0171
| epoch  27 |  16.2s | loss 0.0943 | mae 0.0817 | rmse 0.5218 | da 0.5072 | tda 0.5060 | ic 0.0048 | icir 0.0773
| epoch  28 |  16.3s | loss 0.0932 | mae 0.0964 | rmse 0.5613 | da 0.5080 | tda 0.5047 | ic -0.0003 | icir -0.0050
| epoch  29 |  15.8s | loss 0.0934 | mae 0.0867 | rmse 0.5326 | da 0.5090 | tda 0.5071 | ic 0.0018 | icir 0.0285
| epoch  30 |  16.1s | loss 0.0932 | mae 0.0864 | rmse 0.5329 | da 0.5074 | tda 0.5052 | ic 0.0028 | icir 0.0442
| epoch  31 |  15.8s | loss 0.0927 | mae 0.0912 | rmse 0.5457 | da 0.5075 | tda 0.5039 | ic -0.0049 | icir -0.0737
| epoch  32 |  16.1s | loss 0.0923 | mae 0.0907 | rmse 0.5461 | da 0.5100 | tda 0.5063 | ic -0.0001 | icir -0.0009
| epoch  33 |  15.8s | loss 0.0922 | mae 0.0904 | rmse 0.5448 | da 0.5101 | tda 0.5053 | ic 0.0031 | icir 0.0451
| epoch  34 |  15.1s | loss 0.0914 | mae 0.0893 | rmse 0.5390 | da 0.5085 | tda 0.5065 | ic -0.0003 | icir -0.0047
| epoch  35 |  14.9s | loss 0.0915 | mae 0.0890 | rmse 0.5387 | da 0.5117 | tda 0.5070 | ic 0.0057 | icir 0.0808
| epoch  36 |  16.0s | loss 0.0911 | mae 0.0845 | rmse 0.5255 | da 0.5110 | tda 0.5092 | ic 0.0143 | icir 0.2105
