Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch   1 |  18.0s | loss 0.5450 | mae 0.3715 | rmse 1.4110 | da 0.5072 | tda 0.5054 | ic 0.0167 | icir 0.3048
| epoch   2 |  19.1s | loss 0.3097 | mae 0.2890 | rmse 1.1553 | da 0.5076 | tda 0.5054 | ic 0.0141 | icir 0.3171
| epoch   3 |  18.8s | loss 0.2566 | mae 0.2510 | rmse 1.0384 | da 0.5076 | tda 0.5049 | ic 0.0092 | icir 0.1954
| epoch   4 |  19.0s | loss 0.2205 | mae 0.2149 | rmse 0.9414 | da 0.5074 | tda 0.5037 | ic 0.0089 | icir 0.1737
| epoch   5 |  19.0s | loss 0.1951 | mae 0.1941 | rmse 0.8732 | da 0.5073 | tda 0.5054 | ic 0.0147 | icir 0.2639
| epoch   6 |  18.7s | loss 0.1786 | mae 0.1807 | rmse 0.8272 | da 0.5061 | tda 0.5040 | ic 0.0117 | icir 0.2086
| epoch   7 |  18.9s | loss 0.1676 | mae 0.1714 | rmse 0.7931 | da 0.5064 | tda 0.5040 | ic 0.0120 | icir 0.2174
| epoch   8 |  19.1s | loss 0.1585 | mae 0.1632 | rmse 0.7669 | da 0.5068 | tda 0.5035 | ic 0.0110 | icir 0.2061
| epoch   9 |  18.9s | loss 0.1519 | mae 0.1547 | rmse 0.7276 | da 0.5066 | tda 0.5047 | ic 0.0161 | icir 0.2874
| epoch  10 |  18.4s | loss 0.1466 | mae 0.1510 | rmse 0.7132 | da 0.5069 | tda 0.5039 | ic 0.0162 | icir 0.2893
| epoch  11 |  19.0s | loss 0.1415 | mae 0.1434 | rmse 0.6918 | da 0.5064 | tda 0.5040 | ic 0.0134 | icir 0.2560
| epoch  12 |  18.9s | loss 0.1378 | mae 0.1407 | rmse 0.6901 | da 0.5064 | tda 0.5051 | ic 0.0128 | icir 0.2389
| epoch  13 |  18.8s | loss 0.1341 | mae 0.1393 | rmse 0.6686 | da 0.5060 | tda 0.5047 | ic 0.0151 | icir 0.2670
| epoch  14 |  19.1s | loss 0.1301 | mae 0.1331 | rmse 0.6503 | da 0.5066 | tda 0.5045 | ic 0.0155 | icir 0.2697
| epoch  15 |  19.0s | loss 0.1279 | mae 0.1280 | rmse 0.6379 | da 0.5068 | tda 0.5044 | ic 0.0096 | icir 0.1810
| epoch  16 |  18.7s | loss 0.1247 | mae 0.1251 | rmse 0.6251 | da 0.5071 | tda 0.5036 | ic 0.0110 | icir 0.2107
| epoch  17 |  19.0s | loss 0.1223 | mae 0.1204 | rmse 0.6106 | da 0.5074 | tda 0.5047 | ic 0.0135 | icir 0.2572
| epoch  18 |  19.0s | loss 0.1204 | mae 0.1193 | rmse 0.6054 | da 0.5060 | tda 0.5051 | ic 0.0133 | icir 0.2597
| epoch  19 |  18.6s | loss 0.1185 | mae 0.1169 | rmse 0.5969 | da 0.5078 | tda 0.5056 | ic 0.0133 | icir 0.2477
| epoch  20 |  18.7s | loss 0.1162 | mae 0.1154 | rmse 0.5937 | da 0.5075 | tda 0.5073 | ic 0.0129 | icir 0.2529
| epoch  21 |  19.1s | loss 0.1149 | mae 0.1123 | rmse 0.5820 | da 0.5076 | tda 0.5059 | ic 0.0131 | icir 0.2468
| epoch  22 |  18.6s | loss 0.1135 | mae 0.1140 | rmse 0.5819 | da 0.5077 | tda 0.5063 | ic 0.0128 | icir 0.2403
| epoch  23 |  19.0s | loss 0.1121 | mae 0.1084 | rmse 0.5691 | da 0.5078 | tda 0.5071 | ic 0.0143 | icir 0.2758
| epoch  24 |  19.1s | loss 0.1108 | mae 0.1081 | rmse 0.5684 | da 0.5079 | tda 0.5081 | ic 0.0134 | icir 0.2537
| epoch  25 |  18.7s | loss 0.1100 | mae 0.1067 | rmse 0.5639 | da 0.5076 | tda 0.5067 | ic 0.0106 | icir 0.2156
| epoch  26 |  18.7s | loss 0.1082 | mae 0.1055 | rmse 0.5624 | da 0.5072 | tda 0.5066 | ic 0.0127 | icir 0.2485
| epoch  27 |  18.8s | loss 0.1074 | mae 0.1053 | rmse 0.5645 | da 0.5074 | tda 0.5082 | ic 0.0171 | icir 0.3101
| epoch  28 |  18.7s | loss 0.1065 | mae 0.1033 | rmse 0.5543 | da 0.5078 | tda 0.5080 | ic 0.0129 | icir 0.2485
| epoch  29 |  17.6s | loss 0.1058 | mae 0.1014 | rmse 0.5505 | da 0.5083 | tda 0.5084 | ic 0.0112 | icir 0.1988
| epoch  30 |  17.8s | loss 0.1047 | mae 0.1011 | rmse 0.5473 | da 0.5079 | tda 0.5071 | ic 0.0112 | icir 0.2196
| epoch  31 |  18.7s | loss 0.1040 | mae 0.1004 | rmse 0.5461 | da 0.5089 | tda 0.5086 | ic 0.0145 | icir 0.2806
| epoch  32 |  19.0s | loss 0.1033 | mae 0.1000 | rmse 0.5488 | da 0.5085 | tda 0.5085 | ic 0.0176 | icir 0.3406
| epoch  33 |  19.0s | loss 0.1026 | mae 0.0976 | rmse 0.5401 | da 0.5088 | tda 0.5083 | ic 0.0166 | icir 0.3048
| epoch  34 |  18.7s | loss 0.1020 | mae 0.0983 | rmse 0.5424 | da 0.5085 | tda 0.5072 | ic 0.0148 | icir 0.2831
| epoch  35 |  19.1s | loss 0.1017 | mae 0.0964 | rmse 0.5355 | da 0.5085 | tda 0.5086 | ic 0.0194 | icir 0.3560
| epoch  36 |  19.0s | loss 0.1006 | mae 0.0953 | rmse 0.5357 | da 0.5091 | tda 0.5091 | ic 0.0194 | icir 0.3665
| epoch  37 |  18.8s | loss 0.1002 | mae 0.0959 | rmse 0.5370 | da 0.5091 | tda 0.5080 | ic 0.0210 | icir 0.3716
| epoch  38 |  19.1s | loss 0.0998 | mae 0.0946 | rmse 0.5324 | da 0.5091 | tda 0.5093 | ic 0.0179 | icir 0.3361
| epoch  39 |  18.6s | loss 0.0994 | mae 0.0941 | rmse 0.5346 | da 0.5100 | tda 0.5101 | ic 0.0196 | icir 0.3350
| epoch  40 |  18.5s | loss 0.0990 | mae 0.0945 | rmse 0.5340 | da 0.5094 | tda 0.5090 | ic 0.0188 | icir 0.3232
| epoch  41 |  19.0s | loss 0.0989 | mae 0.0934 | rmse 0.5321 | da 0.5085 | tda 0.5075 | ic 0.0119 | icir 0.2389
| epoch  42 |  19.0s | loss 0.0982 | mae 0.0926 | rmse 0.5296 | da 0.5092 | tda 0.5082 | ic 0.0153 | icir 0.3021
| epoch  43 |  18.5s | loss 0.0979 | mae 0.0925 | rmse 0.5278 | da 0.5095 | tda 0.5093 | ic 0.0171 | icir 0.3600
| epoch  44 |  19.0s | loss 0.0974 | mae 0.0935 | rmse 0.5299 | da 0.5093 | tda 0.5096 | ic 0.0163 | icir 0.2956
| epoch  45 |  19.1s | loss 0.0970 | mae 0.0926 | rmse 0.5295 | da 0.5091 | tda 0.5090 | ic 0.0141 | icir 0.2904
| epoch  46 |  18.9s | loss 0.0969 | mae 0.0930 | rmse 0.5318 | da 0.5097 | tda 0.5095 | ic 0.0133 | icir 0.3145
| epoch  47 |  18.8s | loss 0.0964 | mae 0.0924 | rmse 0.5322 | da 0.5086 | tda 0.5075 | ic 0.0183 | icir 0.3592
| epoch  48 |  19.0s | loss 0.0963 | mae 0.0914 | rmse 0.5290 | da 0.5093 | tda 0.5085 | ic 0.0149 | icir 0.3170
| epoch  49 |  18.5s | loss 0.0958 | mae 0.0910 | rmse 0.5285 | da 0.5093 | tda 0.5079 | ic 0.0170 | icir 0.3585
| epoch  50 |  18.7s | loss 0.0958 | mae 0.0922 | rmse 0.5301 | da 0.5086 | tda 0.5096 | ic 0.0100 | icir 0.2043
