Using specified device: cuda:0
[TCN] 参数量: 38,017

>>> Run 1/3  [TCN]  开始训练...
| epoch   1 |  57.9s | loss 0.2459 | mae 0.0843 | rmse 0.5262 | da 0.5002 | tda 0.4950 | ic 0.0007 | icir 0.0126
| epoch   2 |  58.2s | loss 0.1306 | mae 0.0866 | rmse 0.5320 | da 0.5001 | tda 0.4937 | ic -0.0023 | icir -0.0405
| epoch   3 |  58.2s | loss 0.1188 | mae 0.0831 | rmse 0.5196 | da 0.5088 | tda 0.5109 | ic 0.0113 | icir 0.1874
| epoch   4 |  57.9s | loss 0.1119 | mae 0.0747 | rmse 0.5035 | da 0.5013 | tda 0.5020 | ic 0.0050 | icir 0.0947
| epoch   5 |  58.3s | loss 0.1077 | mae 0.0740 | rmse 0.5016 | da 0.5054 | tda 0.5056 | ic -0.0028 | icir -0.0418
| epoch   6 |  58.3s | loss 0.1046 | mae 0.0777 | rmse 0.5063 | da 0.5083 | tda 0.5091 | ic 0.0027 | icir 0.0416
| epoch   7 |  57.8s | loss 0.1024 | mae 0.0751 | rmse 0.5024 | da 0.5009 | tda 0.4976 | ic 0.0019 | icir 0.0281
| epoch   8 |  58.2s | loss 0.1005 | mae 0.0744 | rmse 0.5020 | da 0.5023 | tda 0.5036 | ic 0.0128 | icir 0.2280
| epoch   9 |  57.6s | loss 0.0988 | mae 0.0728 | rmse 0.5001 | da 0.5059 | tda 0.5094 | ic 0.0134 | icir 0.2187
| epoch  10 |  55.5s | loss 0.0978 | mae 0.0798 | rmse 0.5098 | da 0.5074 | tda 0.5098 | ic 0.0051 | icir 0.0868
| epoch  11 |  58.3s | loss 0.0969 | mae 0.0735 | rmse 0.5013 | da 0.5061 | tda 0.5062 | ic 0.0099 | icir 0.1568
| epoch  12 |  58.3s | loss 0.0963 | mae 0.0745 | rmse 0.5018 | da 0.5026 | tda 0.4966 | ic 0.0084 | icir 0.1493
| epoch  13 |  57.7s | loss 0.0957 | mae 0.0776 | rmse 0.5062 | da 0.5025 | tda 0.5062 | ic 0.0086 | icir 0.1590
| epoch  14 |  58.3s | loss 0.0950 | mae 0.0741 | rmse 0.5014 | da 0.5057 | tda 0.5016 | ic 0.0070 | icir 0.0999
| epoch  15 |  58.3s | loss 0.0952 | mae 0.0784 | rmse 0.5089 | da 0.5045 | tda 0.4984 | ic 0.0013 | icir 0.0192
| epoch  16 |  57.9s | loss 0.0946 | mae 0.0725 | rmse 0.4999 | da 0.5028 | tda 0.5032 | ic 0.0078 | icir 0.1274
| epoch  17 |  57.5s | loss 0.0940 | mae 0.0744 | rmse 0.5012 | da 0.5053 | tda 0.5115 | ic 0.0051 | icir 0.0846
| epoch  18 |  58.0s | loss 0.0933 | mae 0.0750 | rmse 0.5021 | da 0.5061 | tda 0.5098 | ic 0.0111 | icir 0.1844
| epoch  19 |  56.5s | loss 0.0932 | mae 0.0721 | rmse 0.5000 | da 0.5073 | tda 0.5068 | ic 0.0197 | icir 0.3087
| epoch  20 |  56.9s | loss 0.0932 | mae 0.0727 | rmse 0.5005 | da 0.5094 | tda 0.5101 | ic 0.0151 | icir 0.2202
| epoch  21 |  58.2s | loss 0.0934 | mae 0.0754 | rmse 0.5033 | da 0.5024 | tda 0.5033 | ic 0.0134 | icir 0.2145
